id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,fbi_code,year,updated_on,latitude,longitude,cluster
13428416,JH224178,4/13/2024 23:09,003XX N HAMLIN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,TRUE,FALSE,1122,11,28,27,15,2024,4/21/2024 15:40,41.88594957,-87.72092372,2
13428571,JH224171,4/13/2024 23:06,013XX N HUDSON AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,1821,18,27,8,08B,2024,4/21/2024 15:40,41.90715332,-87.63968057,1
13428577,JH224165,4/13/2024 23:05,009XX N PULASKI RD,313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,COMMERCIAL / BUSINESS OFFICE,FALSE,FALSE,1112,11,37,23,3,2024,4/21/2024 15:40,41.89817558,-87.72616969,0
13428599,JH224218,4/13/2024 23:03,131XX S AVENUE O,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE,FALSE,TRUE,433,4,10,55,04A,2024,4/21/2024 15:40,41.65660722,-87.53988799,1
13428874,JH224673,4/13/2024 23:00,022XX W GRANVILLE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,2413,24,50,2,7,2024,4/21/2024 15:40,41.99416752,-87.68536697,2
13429198,JH224963,4/13/2024 23:00,081XX S HERMITAGE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,614,6,17,71,14,2024,4/21/2024 15:40,41.74567185,-87.66696252,1
13431763,JH224468,4/13/2024 23:00,073XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,TRUE,323,3,6,69,14,2024,4/21/2024 15:40,41.7611369,-87.61518783,2
13430648,JH224812,4/13/2024 23:00,001XX W KINZIE ST,810,THEFT,OVER $500,STREET,FALSE,FALSE,1831,18,42,8,6,2024,4/21/2024 15:40,41.88917957,-87.63306237,2
13428503,JH224249,4/13/2024 23:00,044XX N SIMONDS DR,820,THEFT,$500 AND UNDER,PARK PROPERTY,FALSE,FALSE,1914,19,46,3,6,2024,4/21/2024 15:40,41.96476902,-87.63891622,1
13428382,JH224184,4/13/2024 23:00,058XX W MADISON ST,560,ASSAULT,SIMPLE,SIDEWALK,FALSE,TRUE,1513,15,29,25,08A,2024,4/21/2024 15:40,41.88016153,-87.77017044,0
13428483,JH224267,4/13/2024 23:00,025XX S LAWNDALE AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,APARTMENT,FALSE,TRUE,1013,10,22,30,26,2024,4/21/2024 15:40,41.84573216,-87.7172666,1
13429852,JH225779,4/13/2024 23:00,004XX E OHIO ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1834,18,2,8,6,2024,4/21/2024 15:40,41.89266778,-87.61621016,1
13429742,JH225921,4/13/2024 23:00,015XX E 75TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,324,3,8,43,14,2024,4/21/2024 15:40,41.7587551,-87.58723457,2
13428712,JH224513,4/13/2024 23:00,033XX W DOUGLAS BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,1021,10,24,29,08B,2024,4/21/2024 15:40,41.8629145,-87.70973744,1
13428600,JH224231,4/13/2024 23:00,079XX S COLFAX AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,422,4,7,46,08B,2024,4/21/2024 15:40,41.75102918,-87.56137053,1
13428520,JH224153,4/13/2024 22:53,050XX W NEWPORT AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,1634,16,31,15,08B,2024,4/21/2024 15:40,41.94330746,-87.75329489,1
13428497,JH224289,4/13/2024 22:46,012XX S WABASH AVE,610,BURGLARY,FORCIBLE ENTRY,GROCERY FOOD STORE,FALSE,FALSE,131,1,34,33,5,2024,4/21/2024 15:40,41.86681074,-87.62581703,1
13428639,JH224480,4/13/2024 22:45,009XX W WASHINGTON BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,1224,12,34,28,7,2024,4/21/2024 15:40,41.88309289,-87.65038478,2
13429350,JH224191,4/13/2024 22:44,017XX W 87TH ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,FALSE,FALSE,2221,22,18,71,14,2024,4/21/2024 15:40,41.73573142,-87.66734374,2
13428401,JH224143,4/13/2024 22:44,037XX N RICHMOND ST,340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,FALSE,FALSE,1733,17,35,16,3,2024,4/21/2024 15:40,41.94903721,-87.70177091,0
